Unnamed: 0	TestType	Rate	Num	50p	90p	99p	Throughput	AbortRate	AbortRatio	Throughput-o	CommitRate
0	2pl	1000	239785.0	346.74	508.2	924.01	7.67	0.06797	0.01088	7670	93.2
1	2pl	2000	478731.0	346.91	509.58	1537.77	15.43	0.13782	0.02252	15428	86.2
2	2pl	4000	737894.0	748.9	1442.82	10322.33	22.92	0.30579	0.06614	22920	69.4
3	2pl	6000	713862.0	1198.07	2999.75	14996.75	21.46	0.33493	0.08779	21455	66.5
4	2pl	8000	713609.0	1626.25	4645.75	18065.87	20.8	0.35958	0.10405	20804	64.0
5	2pl	10000	652137.0	2050.72	6640.17	20963.22	19.36	0.35271	0.11905	19357	64.7
6	2pl	15000	658609.0	2144.9	6515.41	20929.85	18.92	0.34856	0.11405	18922	65.1
7	2pl	20000	651531.0	2198.76	6524.23	21017.96	18.86	0.34103	0.11285	18858	65.9
8	2pl	25000	653418.0	2201.28	6556.68	21054.65	18.84	0.34991	0.11442	18836	65.0
9	calvin	1000	239788.0	220.5	443.68	523.73	8.0	0.0	0.0	8000	100.0
10	calvin	2000	480000.0	222.05	445.01	525.24	16.0	0.0	0.0	16000	100.0
11	calvin	4000	959338.0	224.67	448.92	528.58	32.0	0.0	0.0	32000	100.0
12	calvin	6000	1440000.0	227.67	450.68	556.55	48.01	0.0	0.0	48014	100.0
13	calvin	8000	1918260.0	230.35	454.48	600.98	64.0	0.0	0.0	64002	100.0
14	calvin	10000	2397762.0	232.84	458.43	637.22	80.02	0.0	0.0	80023	100.0
15	calvin	15000	3600000.0	255.22	542.78	941.23	119.65	0.0	0.0	119647	100.0
16	calvin	20000	1883607.0	748.19	2864.58	24707.06	54.51	0.0	0.0	54506	100.0
17	calvin	25000	896619.0	1411.24	21629.4	26221.62	14.87	0.0	0.0	14867	100.0
0	detock	1000	239084.0	445.91	559.25	683.47	8.01	0.0	0.0	8014	100.0
1	detock	2000	478274.0	449.48	569.78	735.47	16.03	0.0	0.0	16030	100.0
2	detock	4000	930682.0	462.18	622.01	1628.01	31.14	0.0	0.0	31136	100.0
3	detock	6000	1011258.0	512.69	1026.04	4807.39	34.36	0.0	0.0	34361	100.0
4	detock	8000	992754.0	563.92	1046.39	4517.88	34.48	0.0	0.0	34485	100.0
5	detock	10000	901365.0	621.69	983.23	4820.71	30.64	0.0	0.0	30636	100.0
6	detock	15000	725452.0	624.27	1258.88	7823.46	29.98	0.0	0.0	29979	100.0
7	detock	20000	864847.0	656.9	1201.1	4196.64	26.24	0.0	0.0	26241	100.0
8	detock	25000	867328.0	685.51	1183.77	4306.6	30.55	0.0	0.0	30554	100.0
18	janus	1000	239254.0	216.21	738.45	800.82	8.0	0.0	0.0	8001	100.0
19	janus	2000	477483.0	216.49	736.91	819.2	16.01	0.0	0.0	16007	100.0
20	janus	4000	952476.0	217.06	742.49	949.61	32.02	0.0	0.0	32016	100.0
21	janus	6000	1422909.0	217.18	744.69	1098.13	48.01	0.0	0.0	48009	100.0
22	janus	8000	1886437.0	218.65	744.27	1244.73	63.94	0.0	0.0	63938	100.0
23	janus	10000	2323501.0	347.29	926.28	1582.48	77.79	0.0	0.0	77794	100.0
24	janus	15000	2391270.0	1407.48	2171.49	2929.76	77.59	0.0	0.0	77590	100.0
25	janus	20000	2203143.0	2077.41	3520.46	5142.95	68.5	0.0	0.0	68501	100.0
26	janus	25000	2107310.0	2691.92	4318.45	6182.61	65.72	0.0	0.0	65724	100.0
27	janus-pure	1000	239254.0	215.99	496.32	550.69	8.0	0.0	0.0	8001	100.0
28	janus-pure	2000	477483.0	216.25	498.89	651.82	16.01	0.0	0.0	16007	100.0
29	janus-pure	4000	952476.0	216.58	498.37	852.44	32.02	0.0	0.0	32016	100.0
30	janus-pure	6000	1422909.0	216.6	496.53	991.51	48.01	0.0	0.0	48009	100.0
31	janus-pure	8000	1886437.0	217.78	497.36	1065.86	63.94	0.0	0.0	63938	100.0
32	janus-pure	10000	2323501.0	303.43	672.42	1219.45	77.79	0.0	0.0	77794	100.0
33	janus-pure	15000	2391270.0	1089.85	1562.85	2069.42	77.59	0.0	0.0	77590	100.0
34	janus-pure	20000	2203143.0	1583.86	2514.95	3363.32	68.5	0.0	0.0	68501	100.0
35	janus-pure	25000	2107310.0	2019.24	3063.99	3833.12	65.72	0.0	0.0	65724	100.0
9	ncc	1000	239096.0	118.17	207.21	284.62	8.0	0.0	0.0	8000	100.0
10	ncc	2000	450299.0	118.79	209.55	370.34	15.38	0.0	0.0	15381	100.0
11	ncc	4000	875893.0	120.56	270.68	698.53	29.2	0.01	0.0	29197	99.0
0	ncc	6000	1409184.0	138.9	425.23	2901.41	47.44	0.04	0.02	47441	96.0
1	ncc	8000	975005.0	2471.68	10688.22	17328.65	30.45	0.08	0.04	30447	92.0
14	ncc	10000	874497.0	2392.15	11049.32	18680.58	26.08	0.1	0.05	26080	90.0
15	ncc	15000	950436.0	4411.62	14839.45	23702.8	29.02	0.13	0.07	29025	87.0
16	ncc	20000	941407.0	5389.83	15663.27	24553.57	28.64	0.14	0.08	28645	86.0
17	ncc	25000	987920.0	5549.38	16253.69	25629.92	29.87	0.17	0.09	29869	83.0
0	ncc-ft	1000	237839.0	238.4	353.03	644.24	7.99	0.0	0.0	7987	100.0
1	ncc-ft	2000	473553.0	244.82	395.0	927.04	15.92	0.0	0.0	15923	100.0
2	ncc-ft	4000	928884.0	245.97	391.17	2063.71	31.36	0.01	0.01	31357	99.0
3	ncc-ft	6000	794464.0	2827.85	8659.15	15881.26	26.34	0.06	0.03	26336	94.0
4	ncc-ft	8000	435074.0	5272.04	15651.42	22195.73	17.0	0.03	0.02	16995	97.0
5	ncc-ft	10000	496096.0	8070.65	17808.15	23582.55	14.88	0.03	0.02	14878	97.0
6	ncc-ft	15000	431623.0	7873.28	21908.02	27602.47	12.84	0.02	0.01	12845	98.0
7	ncc-ft	20000	411207.0	7582.08	20278.92	25244.33	12.48	0.03	0.02	12484	97.0
8	ncc-ft	25000	389081.0	6004.79	21384.27	27879.5	9.87	0.02	0.01	9871	98.0
2	ncc-spec	6000	1191700.0	733.26	3093.61	7794.55	40.68	0.12	0.05	40675	88.0
3	ncc-spec	8000	948560.0	2806.38	11490.4	18151.1	30.18	0.09	0.05	30181	91.0
36	occ	1000	239747.0	346.79	509.0	1020.38	7.73	0.11453	0.03513	7734	88.5
37	occ	2000	478599.0	346.94	508.94	1696.54	15.45	0.21023	0.06527	15446	79.0
38	occ	4000	706002.0	799.33	1834.03	13593.44	21.75	0.42486	0.16132	21748	57.5
39	occ	6000	683534.0	1294.88	3292.8	15814.98	20.16	0.45767	0.20657	20155	54.2
40	occ	8000	676485.0	1740.95	4607.92	15499.03	19.56	0.45389	0.23523	19560	54.6
41	occ	10000	670352.0	2106.41	5888.65	18173.14	18.98	0.47661	0.26013	18979	52.3
42	occ	15000	595193.0	3441.1	9681.34	22889.58	16.32	0.47296	0.29391	16322	52.7
43	occ	20000	592120.0	4318.84	12243.03	25688.38	15.95	0.47787	0.31099	15946	52.2
44	occ	25000	575240.0	5126.54	14673.94	27931.38	15.65	0.47663	0.32058	15648	52.3
45	tapir	1000	239637.0	216.26	546.6	986.88	7.69	0.28895	0.02563	7687	71.1
46	tapir	2000	478252.0	216.3	543.37	1504.24	15.27	0.43362	0.04865	15271	56.6
47	tapir	4000	949011.0	216.66	559.09	2461.69	30.33	0.59101	0.09353	30333	40.9
48	tapir	6000	1359302.0	240.78	1020.0	3056.18	44.23	0.66305	0.14701	44231	33.7
49	tapir	8000	1312399.0	855.74	2315.28	11358.85	41.3	0.70471	0.25403	41304	29.5
50	tapir	10000	1245265.0	1196.93	3630.27	13952.99	38.94	0.72337	0.29437	38935	27.7
51	tapir	15000	1103727.0	1988.39	7477.08	20947.33	32.57	0.76142	0.36488	32573	23.9
52	tapir	20000	960766.0	3073.16	10869.98	28176.33	26.89	0.77155	0.40659	26889	22.8
53	tapir	25000	886784.0	3963.53	13322.89	28305.6	23.84	0.77385	0.42599	23842	22.6
54	tiga	1000	239177.0	175.39	299.44	380.85	8.01	0.0	0.0	8007	100.0
55	tiga	2000	478931.0	175.13	302.01	434.65	16.03	0.0	0.0	16031	100.0
56	tiga	4000	958814.0	175.5	302.19	495.18	32.06	0.0	0.0	32063	100.0
57	tiga	6000	1440000.0	176.3	301.91	555.12	48.12	0.0	0.0	48118	100.0
58	tiga	8000	1920000.0	176.72	298.75	583.32	64.12	0.0	0.0	64122	100.0
59	tiga	10000	2398272.0	179.73	329.74	600.25	80.29	0.0	0.0	80289	100.0
60	tiga	15000	3593550.0	199.18	443.99	888.53	120.27	0.0	0.0	120272	100.0
61	tiga	20000	4730708.0	318.86	651.08	1225.23	157.33	0.0	0.0	157333	100.0
62	tiga	25000	4433883.0	969.77	1891.73	3147.05	143.35	0.0	0.0	143349	100.0
